Source,Target,Weight
23,1869,1.0
23,1890,1.0
23,1971,1.0
23,2048,1.0
23,2149,1.0
23,2553,1.0
23,3264,1.0
23,3382,1.0
23,3438,1.0
23,3497,1.0
23,3512,1.0
24,116,1.0
24,810,1.0
24,1020,1.0
24,2657,1.0
24,3035,1.0
24,3555,1.0
24,3809,1.0
29,132,1.0
29,547,1.0
29,1900,1.0
29,2587,1.0
29,3514,1.0
29,4311,1.0
30,2181,1.0
31,652,1.0
31,1319,1.0
31,1789,1.0
31,2004,1.0
31,2138,1.0
31,2704,1.0
31,2746,1.0
31,2816,1.0
31,2898,1.0
31,3062,1.0
31,3300,1.0
31,3837,1.0
32,438,1.0
32,714,1.0
32,3126,1.0
32,3516,1.0
32,3892,1.0
32,4006,1.0
33,254,1.0
33,470,1.0
33,1715,1.0
34,2427,1.0
35,524,1.0
35,897,1.0
35,1188,1.0
35,1466,1.0
35,1800,1.0
35,1955,1.0
35,2451,1.0
35,2619,1.0
35,2700,1.0
35,3330,1.0
35,3575,1.0
35,3707,1.0
35,3719,1.0
35,4106,1.0
37,50,1.0
37,228,1.0
37,287,1.0
37,323,1.0
37,434,1.0
37,1424,1.0
37,1502,1.0
37,1791,1.0
37,1944,1.0
37,2189,1.0
37,2342,1.0
37,2410,1.0
37,2414,1.0
37,2601,1.0
37,2635,1.0
37,2793,1.0
37,3023,1.0
37,3198,1.0
37,3236,1.0
37,3273,1.0
37,3393,1.0
37,3865,1.0
37,4085,1.0
37,4214,1.0
39,473,1.0
39,3727,1.0
39,3748,1.0
40,107,1.0
40,340,1.0
40,758,1.0
40,781,1.0
40,1029,1.0
40,1062,1.0
40,1118,1.0
40,1391,1.0
40,1563,1.0
40,2021,1.0
40,2185,1.0
40,2396,1.0
40,2588,1.0
40,2605,1.0
40,3019,1.0
40,3459,1.0
40,3475,1.0
40,3501,1.0
40,3535,1.0
40,3778,1.0
40,3899,1.0
40,3905,1.0
40,3973,1.0
40,4183,1.0
40,4188,1.0
41,2077,1.0
42,45,1.0
42,59,1.0
42,82,1.0
42,191,1.0
42,258,1.0
42,282,1.0
42,311,1.0
42,423,1.0
42,448,1.0
42,480,1.0
42,486,1.0
42,607,1.0
42,610,1.0
42,639,1.0
42,669,1.0
42,876,1.0
42,890,1.0
42,915,1.0
42,951,1.0
42,958,1.0
42,978,1.0
42,1012,1.0
42,1015,1.0
42,1071,1.0
42,1149,1.0
42,1277,1.0
42,1308,1.0
42,1330,1.0
42,1333,1.0
42,1455,1.0
42,1542,1.0
42,1692,1.0
42,1747,1.0
42,1804,1.0
42,1848,1.0
42,1885,1.0
42,1976,1.0
42,1980,1.0
42,1984,1.0
42,2052,1.0
42,2068,1.0
42,2190,1.0
42,2216,1.0
42,2295,1.0
42,2356,1.0
42,2358,1.0
42,2377,1.0
42,2386,1.0
42,2419,1.0
42,2522,1.0
42,2706,1.0
42,2790,1.0
42,2889,1.0
42,2891,1.0
42,3047,1.0
42,3089,1.0
42,3107,1.0
42,3156,1.0
42,3262,1.0
42,3270,1.0
42,3295,1.0
42,3338,1.0
42,3477,1.0
42,3541,1.0
42,3598,1.0
42,3710,1.0
42,3712,1.0
42,3752,1.0
42,3816,1.0
42,3838,1.0
42,3855,1.0
42,3888,1.0
42,3898,1.0
42,3940,1.0
42,3942,1.0
42,3999,1.0
42,4028,1.0
42,4034,1.0
42,4046,1.0
42,4073,1.0
42,4096,1.0
42,4185,1.0
43,2222,1.0
43,4307,1.0
45,59,1.0
45,82,1.0
45,191,1.0
45,258,1.0
45,282,1.0
45,311,1.0
45,423,1.0
45,448,1.0
45,480,1.0
45,486,1.0
45,607,1.0
45,610,1.0
45,639,1.0
45,669,1.0
45,876,1.0
45,890,1.0
45,915,1.0
45,951,1.0
45,958,1.0
45,978,1.0
45,1012,1.0
45,1015,1.0
45,1071,1.0
45,1149,1.0
45,1277,1.0
45,1308,1.0
45,1330,1.0
45,1333,1.0
45,1455,1.0
45,1542,1.0
45,1692,1.0
45,1747,1.0
45,1804,1.0
45,1848,1.0
45,1885,1.0
45,1976,1.0
45,1980,1.0
45,1984,1.0
45,2052,1.0
45,2068,1.0
45,2190,1.0
45,2216,1.0
45,2295,1.0
45,2356,1.0
45,2358,1.0
45,2377,1.0
45,2386,1.0
45,2419,1.0
45,2522,1.0
45,2706,1.0
45,2790,1.0
45,2889,1.0
45,2891,1.0
45,3047,1.0
45,3089,1.0
45,3107,1.0
45,3156,1.0
45,3262,1.0
45,3270,1.0
45,3295,1.0
45,3338,1.0
45,3477,1.0
45,3541,1.0
45,3598,1.0
45,3710,1.0
45,3712,1.0
45,3752,1.0
45,3816,1.0
45,3838,1.0
45,3855,1.0
45,3888,1.0
45,3898,1.0
45,3940,1.0
45,3942,1.0
45,3999,1.0
45,4028,1.0
45,4034,1.0
45,4046,1.0
45,4073,1.0
45,4096,1.0
45,4185,1.0
48,320,1.0
48,398,1.0
48,511,1.0
48,549,1.0
48,919,1.0
48,1506,1.0
48,1559,1.0
48,1575,1.0
48,1677,1.0
48,1794,1.0
48,1843,1.0
48,2477,1.0
48,2574,1.0
48,2957,1.0
48,2958,1.0
48,3032,1.0
48,3102,1.0
48,3144,1.0
48,3171,1.0
48,3190,1.0
48,3372,1.0
48,3577,1.0
48,3664,1.0
48,4288,1.0
48,4298,1.0
50,228,1.0
50,287,1.0
